Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Buena Vista,37.8065321,-122.4206485,Grandeho's Kamekyo II (Sushi),37.80617174140213,-122.4204608926963,Sushi Restaurant
Chinatown,37.7943011,-122.4063757,Mister Jiu's,37.79379008659567,-122.40661544924471,Chinese Restaurant
Chinatown,37.7943011,-122.4063757,Eastern Bakery,37.793775834734205,-122.40617835941858,Bakery
Chinatown,37.7943011,-122.4063757,Golden Star Vietnamese Restaurant,37.79452637823364,-122.40560257441966,Vietnamese Restaurant
Chinatown,37.7943011,-122.4063757,Spicy King,37.7940454,-122.4069683,Chinese Restaurant
Chinatown,37.7943011,-122.4063757,Chef Hung's Restaurant,37.794198657153835,-122.40669210335807,Chinese Restaurant
Chinatown,37.7943011,-122.4063757,Capital Restaurant,37.79414547859496,-122.40712128481466,Chinese Restaurant
Chinatown,37.7943011,-122.4063757,Bow Hon Restaurant,37.79502584545296,-122.40644502829446,Chinese Restaurant
Civic Center,37.7790262,-122.4199061,City Hall Cafe,37.778828091557855,-122.4197795857948,Café
Cole Valley,37.7658133,-122.4499624,Beit Rima Carl Street,37.765841,-122.449755,Middle Eastern Restaurant
Cole Valley,37.7658133,-122.4499624,Zazie,37.765281744910254,-122.44991947702094,Breakfast Spot
Cole Valley,37.7658133,-122.4499624,Padrecito,37.76574435901804,-122.45006486882085,Mexican Restaurant
Cole Valley,37.7658133,-122.4499624,Kezar Bar & Restaurant,37.765750942468216,-122.44990877866329,Restaurant
Cole Valley,37.7658133,-122.4499624,Cafe Reverie,37.766068947544746,-122.44990942946839,Café
Cole Valley,37.7658133,-122.4499624,Crepes on Cole,37.76585766840731,-122.45003748215117,Breakfast Spot
Cole Valley,37.7658133,-122.4499624,Bambino's Ristorante,37.765211388303435,-122.44996935421577,Italian Restaurant
Cole Valley,37.7658133,-122.4499624,Grandeho's Kamekyo,37.76524152219527,-122.44997759160609,Sushi Restaurant
Cow Hollow,37.7972616,-122.4362477,Marina Submarine,37.79693499489624,-122.43709528202423,Sandwich Place
Cow Hollow,37.7972616,-122.4362477,Gamine,37.797048104552175,-122.4359348443235,French Restaurant
Cow Hollow,37.7972616,-122.4362477,Terzo,37.79709262453753,-122.43723592097093,Italian Restaurant
Cow Hollow,37.7972616,-122.4362477,Rooster & Rice,37.797879,-122.435932,Thai Restaurant
Cow Hollow,37.7972616,-122.4362477,Joe's American,37.79724884033203,-122.4351577758789,American Restaurant
Dogpatch,37.7606977,-122.3892016,Wooly Pig,37.760605994540654,-122.38844480831085,Sandwich Place
Dogpatch,37.7606977,-122.3892016,Hu Tong Jian Bing,37.760589599609375,-122.38812255859375,Creperie
Dogpatch,37.7606977,-122.3892016,TomKatSF,37.760900017078,-122.38869872985886,Food Truck
Duboce Triangle,37.7671382,-122.43223,AMASIA Hide’s Sushi bar,37.766769,-122.433201,Sushi Restaurant
Financial District,37.7936467,-122.3989378,Homegrown,37.793617,-122.4,Sandwich Place
Financial District,37.7936467,-122.3989378,Tadich Grill,37.793185959993274,-122.3992153997843,Seafood Restaurant
Financial District,37.7936467,-122.3989378,Michael Mina,37.7934609,-122.3996416,American Restaurant
Financial District,37.7936467,-122.3989378,Perbacco,37.79328790074778,-122.39913383967941,Italian Restaurant
Financial District,37.7936467,-122.3989378,Barbacco,37.79321106834001,-122.399090115992,Italian Restaurant
Financial District,37.7936467,-122.3989378,Bluestone Lane,37.793779,-122.39909072883609,Café
Financial District,37.7936467,-122.3989378,Espresso Subito,37.793513032354085,-122.39876685746862,Food Truck
Financial District,37.7936467,-122.3989378,The Melt,37.79431091757999,-122.39922449917103,Sandwich Place
Financial District,37.7936467,-122.3989378,Schroeder's,37.7939747,-122.3986977,German Restaurant
Financial District,37.7936467,-122.3989378,The Grubbies,37.79430501327305,-122.39933677947846,Japanese Restaurant
Financial District,37.7936467,-122.3989378,Lee's Deli,37.793799337977845,-122.39891673827172,Deli / Bodega
Financial District,37.7936467,-122.3989378,Pressed,37.7944029,-122.3985611,Sandwich Place
Folsom,37.7904517,-122.3895673,Waterbar,37.790509511674905,-122.38908366883435,Seafood Restaurant
Folsom,37.7904517,-122.3895673,Epic Steak,37.790827815748926,-122.38930793736259,Steakhouse
Folsom,37.7904517,-122.3895673,Creperie Saint Germain,37.790458870226175,-122.38961153936114,Food Truck
Glen Park,37.734281,-122.4344696,Gialina Pizzeria,37.73393958188252,-122.43414399698531,Pizza Place
Glen Park,37.734281,-122.4344696,La Corneta,37.733913724338414,-122.43406148207286,Mexican Restaurant
Glen Park,37.734281,-122.4344696,Manzoni,37.73467816914885,-122.43389799980405,Italian Restaurant
Glen Park,37.734281,-122.4344696,Tyger's Coffee Shop,37.734539472147745,-122.43395440314337,Breakfast Spot
Glen Park,37.734281,-122.4344696,Win Garden,37.734549257302305,-122.43389874611981,Chinese Restaurant
Glen Park,37.734281,-122.4344696,Tekka House,37.73452961519617,-122.43367145203175,Sushi Restaurant
Glen Park,37.734281,-122.4344696,Pebble's Cafe,37.73382221218733,-122.43409307259925,Café
Hayes Valley,37.7766853,-122.4229361,a Mano,37.776916945347146,-122.42385625239876,Restaurant
Hayes Valley,37.7766853,-122.4229361,Monsieur Benjamin,37.77747803178731,-122.42313085901189,French Restaurant
Hayes Valley,37.7766853,-122.4229361,Chez Maman,37.77695950756382,-122.42309400412454,French Restaurant
Hayes Valley,37.7766853,-122.4229361,Absinthe Brasserie & Bar,37.7770088434818,-122.423003716262,French Restaurant
Hayes Valley,37.7766853,-122.4229361,Papito Hayes,37.776712974906005,-122.42345869766629,Mexican Restaurant
Hayes Valley,37.7766853,-122.4229361,Nightbird,37.77654051357484,-122.42290414755027,Restaurant
Hayes Valley,37.7766853,-122.4229361,Doppio Zero,37.776766,-122.422756,Pizza Place
Hayes Valley,37.7766853,-122.4229361,Tsubasa Sushi,37.777333673154125,-122.42315648423737,Sushi Restaurant
Hayes Valley,37.7766853,-122.4229361,Bai Thong Thai Cuisine,37.77597087382773,-122.4227971020169,Thai Restaurant
Hayes Valley,37.7766853,-122.4229361,Arbor,37.777077,-122.422279,Restaurant
Hayes Valley,37.7766853,-122.4229361,The Chairman Kitchen,37.77676638717961,-122.42372833699865,Food Truck
Ingleside,37.7229872,-122.4530272,Pakwan Restaurant,37.72348113608998,-122.45388596926179,Pakistani Restaurant
Ingleside,37.7229872,-122.4530272,Pokihub,37.72343254029862,-122.45384425676087,Poke Place
Ingleside,37.7229872,-122.4530272,Quan Pho Viet,37.723212,-122.453591,Vietnamese Restaurant
Ingleside,37.7229872,-122.4530272,Orchids Cafe,37.723141,-122.45371000000002,Cha Chaan Teng
Jackson Square,33.69928165,-116.21465380000001,Taqueria Guerrero,33.698988372109305,-116.21404296469265,Mexican Restaurant
Jackson Square,33.69928165,-116.21465380000001,Wingstop,33.699993,-116.214966,Wings Joint
Jackson Square,33.69928165,-116.21465380000001,Subway,33.699886435361215,-116.2149101226845,Restaurant
Jackson Square,33.69928165,-116.21465380000001,McDonald's,33.700040352639896,-116.21438313009533,Restaurant
Jackson Square,33.69928165,-116.21465380000001,Ha Ha Chinese Restaurant,33.69906005032466,-116.21434860312287,Chinese Restaurant
Jackson Square,33.69928165,-116.21465380000001,Mario's Italian Cafe,33.698978000000004,-116.21436200000001,Italian Restaurant
Jackson Square,33.69928165,-116.21465380000001,Walmart Bakery,33.698811,-116.215202,Bakery
Japantown,37.7855789,-122.4298089,Benkyodo,37.7864224820624,-122.43005263012587,Japanese Restaurant
Japantown,37.7855789,-122.4298089,Hinodeya Ramen Bar,37.786222571504034,-122.42995622632341,Ramen Restaurant
Japantown,37.7855789,-122.4298089,Nari,37.785476,-122.428688,Thai Restaurant
Japantown,37.7855789,-122.4298089,Mochill Mochidonut,37.785005,-122.430494,Donut Shop
Japantown,37.7855789,-122.4298089,An Japanese Restaurant,37.785028705277405,-122.42915486228173,Sushi Restaurant
Japantown,37.7855789,-122.4298089,yakiniQ Cafe,37.785789610840105,-122.42883826508465,Café
Japantown,37.7855789,-122.4298089,Sasa,37.78528239061879,-122.4294097057721,Japanese Restaurant
Japantown,37.7855789,-122.4298089,Shabu-sen,37.78602087703842,-122.42987358056291,Japanese Restaurant
Japantown,37.7855789,-122.4298089,Ramen Yamadaya,37.786064798583034,-122.42980941614861,Ramen Restaurant
Japantown,37.7855789,-122.4298089,San Wang Restaurant,37.78573829654397,-122.42939571612946,Chinese Restaurant
Japantown,37.7855789,-122.4298089,yakiniQ,37.785907576524295,-122.42887341187361,Korean Restaurant
Japantown,37.7855789,-122.4298089,OzaOza,37.785747554459576,-122.430113106966,Japanese Restaurant
Japantown,37.7855789,-122.4298089,Benihana,37.78532484525151,-122.43069889361297,Japanese Restaurant
Japantown,37.7855789,-122.4298089,Kui Shin Bo,37.7853787770086,-122.42949794385977,Japanese Restaurant
Japantown,37.7855789,-122.4298089,Izumi Kaiten Sushi,37.78529996186033,-122.4303822047262,Sushi Restaurant
Japantown,37.7855789,-122.4298089,Waraku,37.78572045493353,-122.42876790726038,Ramen Restaurant
Japantown,37.7855789,-122.4298089,Doobu,37.78610395443747,-122.42999509681573,Korean Restaurant
Japantown,37.7855789,-122.4298089,Takara Restaurant,37.78518797815921,-122.42894328321286,Japanese Restaurant
Japantown,37.7855789,-122.4298089,Seoul Garden,37.78535124884967,-122.42940168566369,Korean Restaurant
Japantown,37.7855789,-122.4298089,Oji,37.786186,-122.429855,Ramen Restaurant
Japantown,37.7855789,-122.4298089,Sanppo,37.78552996767008,-122.43012686562032,Sushi Restaurant
Japantown,37.7855789,-122.4298089,Kippu Sushi,37.78577491478509,-122.42982107744797,Sushi Restaurant
Japantown,37.7855789,-122.4298089,Osakaya,37.78522240416322,-122.4304963125665,Japanese Restaurant
Japantown,37.7855789,-122.4298089,Hikari Sushi,37.78557040522171,-122.43042786121529,Sushi Restaurant
Japantown,37.7855789,-122.4298089,May's Coffee Shop,37.78507994149344,-122.43045502522494,American Restaurant
Japantown,37.7855789,-122.4298089,Sanuki Japanese Restaurant,37.785438537597656,-122.42902374267578,Food
Japantown,37.7855789,-122.4298089,Yaqini Q Cafe,37.78580002736399,-122.42909264895914,Café
Japantown,37.7855789,-122.4298089,Umai Ramen House,37.785193,-122.429229,Ramen Restaurant
Japantown,37.7855789,-122.4298089,Mifune Don,37.78531026686185,-122.4293331329552,Japanese Restaurant
Japantown,37.7855789,-122.4298089,Izakaya Umai,37.78531702742784,-122.42935967963464,Japanese Restaurant
Lower Haight,37.7719261,-122.4324791274891,Uva Enoteca,37.77201109794026,-122.4315560597662,Italian Restaurant
Lower Haight,37.7719261,-122.4324791274891,Memphis Minnie's BBQ,37.7720072020819,-122.43165873720946,BBQ Joint
Lower Haight,37.7719261,-122.4324791274891,SushiRaw,37.77178325483694,-122.4334351452929,Sushi Restaurant
Lower Haight,37.7719261,-122.4324791274891,RNM Restaurant,37.77214813232422,-122.43196868896484,American Restaurant
Lower Haight,37.7719261,-122.4324791274891,King Of Thai Noodle House,37.77146537183108,-122.43170281290381,Thai Restaurant
Mission Bay,37.7707742,-122.3911712,Adam's Grub Truck,37.770697,-122.391582,Food Truck
Mission Bay,37.7707742,-122.3911712,Señor Sisig,37.7709634530156,-122.39140394226848,Food Truck
Mission Bay,37.7707742,-122.3911712,Koja Kitchen,37.7707826717782,-122.39184097415277,Food Truck
Mission Bay,37.7707742,-122.3911712,Hookt Doughnuts,37.770547,-122.391786,Donut Shop
Mission Bay,37.7707742,-122.3911712,Bowl'd Acai,37.77071862782554,-122.39127670479662,Food Truck
Mission Bay,37.7707742,-122.3911712,Wicked Star,37.770846430444344,-122.39160309626354,Food Truck
Mission Bay,37.7707742,-122.3911712,The Steamin' Burger,37.770724683270366,-122.39151458342334,Food Truck
Mission Bay,37.7707742,-122.3911712,Go JoJo's MoJo,37.770753938917565,-122.39146479491802,Food Truck
Mission Bay,37.7707742,-122.3911712,Poke Delish,37.770858110541994,-122.39070136822168,Food Truck
Mission Bay,37.7707742,-122.3911712,Firetrail Pizza,37.77075880794078,-122.39150394289268,Pizza Place
Mission Bay,37.7707742,-122.3911712,Kabob Trolley,37.77066018730282,-122.39166394879798,Food Truck
Mission Bay,37.7707742,-122.3911712,Spork & Stix,37.77062953073102,-122.39147585903238,Food Truck
Mission Bay,37.7707742,-122.3911712,MOMO noodle,37.770630044622784,-122.39174692947012,Food Truck
Mission Bay,37.7707742,-122.3911712,S&K Wings,37.770845249357535,-122.39153117958655,Food Truck
Mission Bay,37.7707742,-122.3911712,Domingo's International Kitchen And Fusion,37.77085441714612,-122.3902587994863,Food Truck
Mission Bay,37.7707742,-122.3911712,Nucha Empanadas,37.770808,-122.391748,Empanada Restaurant
Mission Bay,37.7707742,-122.3911712,Cochinita,37.770691142232366,-122.39160862831356,Food Truck
Mission Bay,37.7707742,-122.3911712,Lady Saigon,37.77075357002047,-122.39142053844911,Food Truck
Mission Bay,37.7707742,-122.3911712,Parklab Junction,37.77085353037234,-122.39064051513088,Food Truck
Mission Bay,37.7707742,-122.3911712,Tibo Ice Cream Truck,37.77082966212237,-122.39147585903238,Food Truck
Mission Bay,37.7707742,-122.3911712,Batter Up Truck,37.7709025748981,-122.3917082051646,Food Truck
Mission Bay,37.7707742,-122.3911712,Crepes S'il Vous Plait,37.770686,-122.391776,Creperie
Mission Bay,37.7707742,-122.3911712,Roadside Rotisserie,37.7708693326819,-122.39155883985273,Restaurant
Mission Bay,37.7707742,-122.3911712,Lil Green Cyclo,37.77060027507309,-122.39152564753246,Food Truck
Mission Bay,37.7707742,-122.3911712,El Calamar,37.77084243900411,-122.39175246151261,Food Truck
Mission Bay,37.7707742,-122.3911712,Hongry Kong @ Hawthrone,37.770690110147164,-122.3914150063892,Food Truck
Mission Bay,37.7707742,-122.3911712,Taqueria San Marcos,37.770660779974094,-122.39152564753243,Food Truck
Mission Bay,37.7707742,-122.3911712,Izzy's Cheesesteaks,37.770507633938365,-122.39150905136836,Food Truck
Nob Hill,37.7944792,-122.4155921,Jackson Market,37.794849,-122.41506399999999,Deli / Bodega
Nob Hill,37.7944792,-122.4155921,Sushi Rapture,37.793965154657464,-122.41633384283065,Sushi Restaurant
Noe Valley,37.7515906,-122.4320814,Vive La Tarte,37.751445598335486,-122.4324945354914,Bakery
Noe Valley,37.7515906,-122.4320814,Patxi’s Pizza,37.75143034444472,-122.43285591598998,Pizza Place
Noe Valley,37.7515906,-122.4320814,NOVY Restaurant,37.75143100125222,-122.43213304128399,Greek Restaurant
Noe Valley,37.7515906,-122.4320814,Tung Sing,37.75142812573508,-122.43230687836092,Chinese Restaurant
NOPA,37.7784081,-122.4425992,The Yard,37.779081,-122.442319,BBQ Joint
North Beach,37.8011749,-122.4090021,Tony’s Pizza Napoletana,37.80038714317991,-122.40914575479546,Pizza Place
North Beach,37.8011749,-122.4090021,Park Tavern,37.80109702179248,-122.40930067725601,New American Restaurant
North Beach,37.8011749,-122.4090021,Original Joe's,37.800345242220565,-122.40931025175796,Restaurant
North Beach,37.8011749,-122.4090021,Liguria Bakery,37.80145279035106,-122.40937529897172,Bakery
North Beach,37.8011749,-122.4090021,Mama's on Washington Square,37.801461,-122.409522,Breakfast Spot
North Beach,37.8011749,-122.4090021,Acquolina,37.80055083220337,-122.40914792060461,Italian Restaurant
North Beach,37.8011749,-122.4090021,Al Pastor Papi,37.80072005070891,-122.4091161096701,Food Truck
Ocean View,37.7136512,-122.457483,Nizario's Pizza,37.71280482933671,-122.45710980521437,Pizza Place
Pacific Heights,37.7927171,-122.4356445,Jackson Fillmore,37.79259770938566,-122.43457540756175,Italian Restaurant
Polk,37.7906132,-122.4205699,Swan Oyster Depot,37.790930790704444,-122.42075867425216,Seafood Restaurant
Polk,37.7906132,-122.4205699,Common Sage,37.79146422652629,-122.4208996927136,Deli / Bodega
Polk,37.7906132,-122.4205699,Crustacean,37.79031489058919,-122.42084672149132,Vietnamese Restaurant
Polk,37.7906132,-122.4205699,Cordon Bleu,37.790613045466124,-122.42029598589278,Vietnamese Restaurant
Polk,37.7906132,-122.4205699,Bamboo Restaurant,37.79016541211118,-122.42067459183998,Chinese Restaurant
Polk,37.7906132,-122.4205699,Nara Sushi,37.790867476889424,-122.42075356355119,Sushi Restaurant
Polk,37.7906132,-122.4205699,Tuba Express Mediterranean Kebab & Gyros,37.79081272178735,-122.4199755881855,Mediterranean Restaurant
Polk,37.7906132,-122.4205699,Victor's Pizza,37.789924,-122.420824,Pizza Place
Polk,37.7906132,-122.4205699,The Village Cafe,37.790068979188895,-122.42061558938255,Diner
Polk,37.7906132,-122.4205699,Phở Vietnam,37.78975706745945,-122.42054189164764,Noodle House
Polk,37.7906132,-122.4205699,Shalimar,37.78979450033773,-122.42067926000165,Indian Restaurant
Polk,37.7906132,-122.4205699,Nobhill Pizza & Shawerma,37.79076661378759,-122.41974742878307,Pizza Place
Polk,37.7906132,-122.4205699,Star Bagels,37.790351335953176,-122.42070239645766,Bagel Shop
Polk,37.7906132,-122.4205699,Darbar Restaurant,37.78981875679899,-122.42052674969527,Indian Restaurant
Polk,37.7906132,-122.4205699,Donuts & Things,37.791275327991144,-122.42090922011624,Donut Shop
Polk,37.7906132,-122.4205699,Dijon Burger,37.79006,-122.420446,Burger Joint
Polk,37.7906132,-122.4205699,Ti Píacera,37.790836291209274,-122.4207521935738,Italian Restaurant
Polk,37.7906132,-122.4205699,Jacob's Family Restaurant,37.790074,-122.420355,Diner
Potrero Hill,37.759652,-122.3980262,Thinkers Cafe,37.759908659281216,-122.39786096064077,Café
Potrero Hill,37.759652,-122.3980262,Sal's crawfish boil,37.759207,-122.398859,Seafood Restaurant
Potrero Hill,37.759652,-122.3980262,Jay's Deli,37.75983810424805,-122.39695739746094,Deli / Bodega
Russian Hill,37.8000729,-122.4170942,Sumac | Istanbul Street Food,37.79945271468892,-122.41736590862276,Mediterranean Restaurant
SoMa,37.7808925,-122.4009518,Hotel George,37.78141,-122.401489,Burger Joint
South Beach,37.7798139,-122.3911499,Saison,37.77938780708879,-122.39200771519837,New American Restaurant
South Beach,37.7798139,-122.3911499,Cafe Lambretta,37.780484827302764,-122.39043773417386,Café
South Beach,37.7798139,-122.3911499,The Bagel Bakery,37.779682937966285,-122.3916270089661,Bagel Shop
South Beach,37.7798139,-122.3911499,TRES,37.78022738782531,-122.39125932107154,Mexican Restaurant
South Beach,37.7798139,-122.3911499,Jiro San Francisco,37.77954848730172,-122.39220608800696,Sushi Restaurant
Stonestown,37.7272845,-122.4749053,The Boneyard Truck,37.727191148901035,-122.47484957331918,Food Truck
Stonestown,37.7272845,-122.4749053,Salad Bar SFSU,37.727333275355015,-122.47487168395907,Salad Place
Stonestown,37.7272845,-122.4749053,Sorobol,37.72753047362281,-122.47418625194591,Asian Restaurant
The Castro,37.7608561,-122.434957,Bhoga,37.761407,-122.435188,Indian Restaurant
The Castro,37.7608561,-122.434957,Lark,37.760993285739396,-122.43427518221822,Mediterranean Restaurant
The Castro,37.7608561,-122.434957,Fable,37.75997442841319,-122.43507963136373,New American Restaurant
The Castro,37.7608561,-122.434957,Harvey's,37.76082906854015,-122.43511610272319,American Restaurant
The Castro,37.7608561,-122.434957,Thai Chef,37.76084802254604,-122.435761292625,Thai Restaurant
The Castro,37.7608561,-122.434957,Poesia Osteria Italiana,37.761012432501495,-122.43434717636492,Italian Restaurant
The Castro,37.7608561,-122.434957,Cafe Mystique,37.761493,-122.43522,Mediterranean Restaurant
The Castro,37.7608561,-122.434957,Castro Tarts,37.75999517206034,-122.43499349636146,Sandwich Place
The Castro,37.7608561,-122.434957,Blind Butcher,37.761134999999996,-122.434168,Steakhouse
The Castro,37.7608561,-122.434957,Park Gyros Castro,37.76172527922667,-122.43493719240861,Mediterranean Restaurant
The Castro,37.7608561,-122.434957,Wasabi Bistro,37.76047303817423,-122.43502696453999,Sushi Restaurant
The Castro,37.7608561,-122.434957,La Tortilla,37.76105311481648,-122.43505514792086,Taco Place
The Castro,37.7608561,-122.434957,The Sausage Factory,37.76063607607845,-122.43497645032845,Italian Restaurant
The Castro,37.7608561,-122.434957,Oz Pizza,37.76071387830465,-122.4350137024232,Pizza Place
The Castro,37.7608561,-122.434957,Gyro Xpress,37.76097006710172,-122.43496586217547,Mediterranean Restaurant
The Castro,37.7608561,-122.434957,Oz Burger,37.760972,-122.434493,Burger Joint
The Castro,37.7608561,-122.434957,Bearbucks,37.76093183982359,-122.43464151919089,Café
The Embarcadero,37.7819451,-122.3884222,Town's End Restaurant & Bakery,37.78255561171869,-122.3886323181069,Breakfast Spot
The Embarcadero,37.7819451,-122.3884222,South Beach Cafe,37.781628,-122.38861,Pizza Place
The Embarcadero,37.7819451,-122.3884222,The Java House Restaurant,37.78134666001847,-122.38780611521264,Sandwich Place
The Embarcadero,37.7819451,-122.3884222,Carmen's Restaurant,37.781863,-122.387878,Asian Restaurant
The Embarcadero,37.7819451,-122.3884222,Bacon-Wrapped Hot Dog Cart,37.781913730041076,-122.3886323434046,Food Truck
The Marina,37.7790262,-122.4199061,City Hall Cafe,37.778828091557855,-122.4197795857948,Café
The Mission,37.7524984,-122.4128258,Son’s Addition,37.75273510853116,-122.41186314168279,American Restaurant
The Mission,37.7524984,-122.4128258,Taqueria Vallarta,37.752556423200794,-122.41258783623695,Taco Place
The Mission,37.7524984,-122.4128258,La Gallinita Meat Market,37.75261009357204,-122.41185951398462,Mexican Restaurant
The Mission,37.7524984,-122.4128258,El Nuevo Frutilandia,37.752506937320206,-122.41351155131245,Cuban Restaurant
The Mission,37.7524984,-122.4128258,Vallartas Mexican Restaurant,37.752558,-122.412655,Mexican Restaurant
The Mission,37.7524984,-122.4128258,Quereme,37.752496,-122.41393,Mexican Restaurant
The Sunset,32.7965497,-117.1928781,Roberto's Taco Shop,32.7973995,-117.192783,Taco Place
The Sunset,32.7965497,-117.1928781,Mountain Mike's Pizza,32.79608397966341,-117.19261134004063,Pizza Place
The Sunset,32.7965497,-117.1928781,SUBWAY,32.796226211626404,-117.1925761277202,Restaurant
The Sunset,32.7965497,-117.1928781,Cotijas,32.79638248676407,-117.19347477405974,Mexican Restaurant
The Sunset,32.7965497,-117.1928781,TK Donuts,32.79740202210029,-117.19305242404505,Donut Shop
The Tenderloin,37.7842493,-122.4139933,Tadu Ethiopian Kitchen,37.78471802269632,-122.41414449766289,Ethiopian Restaurant
Twin Peaks,37.75464,-122.44648,Rainbow Cafe,37.75481849345515,-122.44697539342887,Caribbean Restaurant
West Portal,37.7411405,-122.4656336,Submarine Center,37.74082687756648,-122.46546663919555,Sandwich Place
West Portal,37.7411405,-122.4656336,Noe Valley Bakery,37.74056451440146,-122.46628414888933,Bakery
West Portal,37.7411405,-122.4656336,Chaiya,37.74104216116533,-122.4649591037211,Thai Restaurant
West Portal,37.7411405,-122.4656336,Spiazzo Ristorante,37.74049906835031,-122.46611414213069,Italian Restaurant
West Portal,37.7411405,-122.4656336,Bullshead Restaurant,37.74093792700493,-122.4655470370782,Burger Joint
West Portal,37.7411405,-122.4656336,Lemonade,37.74072965902213,-122.46621663893126,Café
West Portal,37.7411405,-122.4656336,Burrito Loco,37.74091038606657,-122.46562352714389,Mexican Restaurant
West Portal,37.7411405,-122.4656336,Squat & Gobble,37.74082115662218,-122.46568941619537,Breakfast Spot
West Portal,37.7411405,-122.4656336,New Tsing Tao Restaurant,37.740568,-122.465455,Indian Chinese Restaurant
West Portal,37.7411405,-122.4656336,Franco's Latin Table,37.7406245,-122.4663397,Mexican Restaurant
West Portal,37.7411405,-122.4656336,Silver Spoon Thai Kitchen,37.741111755371094,-122.46512603759766,Thai Restaurant
